[2026-03-30 21:55:03] [INFO ] Data loaded: 0 rooms, 0 guests, 0 bookings.
[2026-03-30 21:55:03] [INFO ] CheckoutReminderThread started.
[2026-03-30 21:55:03] [INFO ] AutoSaveThread started (daemon=true).
[2026-03-30 21:55:03] [INFO ] OccupancyReporterThread (ScheduledExecutorService) started.
[2026-03-30 21:55:03] [INFO ] BookingProcessorThread started (Producer-Consumer).
[2026-03-30 21:55:03] [INFO ] All 5 background threads started.
[2026-03-30 21:55:03] [INFO ] RoomStatusUpdaterThread started. Monitoring RAF file.
[2026-03-30 21:55:03] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.0.00
[2026-03-30 21:55:05] [INFO ] Application started successfully.
[2026-03-30 21:55:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.0.00
[2026-03-30 21:55:59] [INFO ] Room added: R101
[2026-03-30 21:56:03] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.0.00
[2026-03-30 21:56:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.0.00
[2026-03-30 21:57:03] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.0.00
[2026-03-30 21:57:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.0.00
[2026-03-30 21:58:03] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.0.00
[2026-03-30 21:58:03] [INFO ] Guest registered: G101
[2026-03-30 21:58:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.0.00
[2026-03-30 21:59:03] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.0.00
[2026-03-30 21:59:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.0.00
[2026-03-30 22:00:03] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.0.00
[2026-03-30 22:00:03] [INFO ] AutoSave completed successfully.
[2026-03-30 22:00:21] [INFO ] Room added: R102
[2026-03-30 22:00:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.0.00
[2026-03-30 22:00:41] [INFO ] Booked: Room=R102 Guest=G101 BookingID=BK44983D
[2026-03-30 22:01:03] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:39] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:41] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:41] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:41] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:41] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:41] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:41] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:41] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:41] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
